Сгенерированная капча: 65216, Введено: 65216, Результат: Правильно, Время: 3.24 сек.
Сгенерированная капча: 28924, Введено: 28924, Результат: Правильно, Время: 2.01 сек.
Сгенерированная капча: 63830, Введено: 63830, Результат: Правильно, Время: 3.50 сек.
Сгенерированная капча: 61961, Введено: 61961, Результат: Правильно, Время: 2.78 сек.
Сгенерированная капча: 61422, Введено: 61422, Результат: Правильно, Время: 2.01 сек.
Сгенерированная капча: 50386, Введено: 5038, Результат: Неверно, Время: 2.18 сек.
Сгенерированная капча: 95065, Введено: 95065, Результат: Правильно, Время: 3.78 сек.
Сгенерированная капча: 53606, Введено: 65606, Результат: Неверно, Время: 2.42 сек.
Сгенерированная капча: 63910, Введено: 63910, Результат: Правильно, Время: 4.02 сек.
Сгенерированная капча: 73014, Введено: 73014, Результат: Правильно, Время: 3.66 сек.
Сгенерированная капча: 63579, Введено: 63579, Результат: Правильно, Время: 4.86 сек.
Сгенерированная капча: 39036, Введено: 39036, Результат: Правильно, Время: 2.46 сек.
Сгенерированная капча: 33720, Введено: 33720, Результат: Правильно, Время: 1.72 сек.
Сгенерированная капча: 71192, Введено: 71192, Результат: Правильно, Время: 1.89 сек.
Сгенерированная капча: 82724, Введено: 82724, Результат: Правильно, Время: 3.90 сек.
Сгенерированная капча: 33650, Введено: 33650, Результат: Правильно, Время: 1.84 сек.
Сгенерированная капча: 47011, Введено: 47011, Результат: Правильно, Время: 1.94 сек.
Сгенерированная капча: 48341, Введено: 48341, Результат: Правильно, Время: 2.64 сек.
